id,sesion,marca_id,rasgo,de,a,motivo
hp-001,2,pm-007,maestria_quirk,2,3,"1er día de entrenamiento dedicado del Eco con Aizawa (S2/D2): descubrió el anclaje emocional (2 anclas), manifestó a Blackroot, retrasó el Eco. +1 por día de entrenamiento dedicado."
hp-002,3,pm-011,maestria_quirk,3,4,"Día de doble entrenamiento dedicado (S3/D3): con Aizawa rozó 'pelear en dos tiempos' (dos acciones/aspectos en dos instantes a la vez, con coste); con Ibara aprendió a 'escuchar' la savia (control fino). +1 por día de entrenamiento dedicado (docs/progresion_narrativa.md)."
hp-003,10,pm-041,PWR,3,4,"Primer bloque de acondicionamiento completado (D7-D12): 10k diario 57:00→54:10, dobles sesiones (Kendo/Aizawa/Mirio), series de capacidad, tabla 100/100/74. Regla de bloques (S10): marca física concedida al completarse el bloque, sin esperar cierre de arco. Elección del jugador: PWR."

"# S14 (D15): sin subidas concedidas. Σ marcas otorgadas pm-054..pm-068 (15 marcas, 14-18 peso) — TODO aplazado a cierre de Arco 1. Maestria 4 congelada sin oferta de +1 (Mei drenaje volumen: LUZ de oferta pendiente de narrar siguiente sesion)."

# S14 (D15) CERRADA DEFINITIVA: pm-054..pm-073 (20 marcas) = 34 peso total en el día. Sin subidas concedidas. CANJE APLAZADO a cierre de Arco 1 (coherente con S8-S13). Maestria 4 congelada. Drenaje Mei volumen: LUZ de oferta no narrada en sesión.

"# S15 (D16): sin subidas concedidas. pm-074..pm-090 (35 peso) APLAZADO a cierre de Arco 1 (coherente con S8-S14). Maestria 4 congelada sin oferta de +1 (no hubo dia de entrenamiento dedicado del Quirk)."
"# S16 (D17): sin subidas aplicadas. pm-098 (peso 2, 155 sostenidos) tiene canje instantaneo pactado en sesion - a aplicar cuando el jugador elija VEL o TEC. pm-091..pm-106 (26 peso) resto aplazado a cierre de Arco 1. Maestria 4 congelada (declinaciones 7a Midnight y 8a Nejire)."
hp-004,16,pm-098,VEL,3,4,Canje instantaneo pactado en sesion (S16/D17): hito ruta-007 cumplido - 155 km/h sostenidos con capullo aerodinamico + sprint pulsado con Cuerpo. Eleccion del jugador: VEL (sobre TEC). Aplicado post-cierre 2026-07-08.
# S17 (D18-D22): sin subidas aplicadas (VEL 3->4 fue el canje post-S16). pm-107..pm-118 (19 peso) aplazadas a cierre de Arco 1.
# S18 (D23): sin subidas aplicadas. pm-119..pm-128 (19 peso) aplazadas a cierre de Arco 1. Maestria 4 congelada (11a declinacion). Scars 0.
# S20 (D25-D28): sin subidas aplicadas. pm-131..pm-135 (9 peso) aplazadas a cierre de Arco 1. Maestria 4 congelada (14a declinacion). Scars 0. Fragmentos nuevos: BIG FIST x1 (Kendo) + Acido x3 + correccion Zero Gravity x3 aprox.
# S21 (D29): sin subidas aplicadas. pm-136..pm-140 (9 peso) aplazadas a cierre de Arco 1. 15a declinacion de maestria (Pony). ruta-013 fundada.
hp-005,S22,frenesi-resurreccion,maestria_quirk,4,5,"Descongelacion NO planificada: el animal acepto el +1 de la savia durante el frenesi de resurreccion (pool a 0, incidente Midnight). Rompe la estrategia anti-bengala de Aizawa. CRITICO: NADIE consciente lo sabe (ni Akari); solo la bestia. Hilo de arco: la bengala esta encendida sin saberlo."
# S22 (D30): MAESTRIA 4->5 (hp-005, no planificada, no descubierta). Scars 0 (eligio no rebobinar). Marcas pm-141..pm-144 aplazadas a Arco 1 salvo conversion. Fragmentos: Explosion x1, BIG FIST x2, Vides x4.
hp-006,S22,pm-143,COO,3,4,"Filo/gatillo ofensivo aprendido de Bakugo en sparring real con lesiones; remate sin el medio segundo de duda. Dentro de banda Arco 1."
hp-007,S22,pm-bote-arco1,TEC,4,5,"Cierre de Arco 1: suelta del bote (26 peso TEC acumulado). Tecnica/analisis del Quirk y estudio (integral de caminos, savia-que-habla, arsenal). Entra en banda Arco 2."
hp-008,S22,pm-bote-arco1,ING,4,5,"Cierre de Arco 1: suelta del bote (19 peso ING + parte de caracter). Dominio del conocimiento (summa cum laude, Singularidad, cuantica). Banda Arco 2."
hp-009,S22,pm-bote-arco1,COO,4,5,"Cierre de Arco 1: suelta del bote (26 COO + 65 caracter/voluntad -> temple). Dominio del hambre, agencia, rewind con criterio, control fino. Banda Arco 2 (COO 3->5 este cierre con HP-006)."
hp-010,S22,pm-141+pm-142,potencial,5,6,"EVOLUCION DEL QUIRK (awakening): aceptar la savia como parte de si (peso 3) + morir y resucitar dirigiendola + inmortalidad confirmada. El techo del Quirk se eleva. OCULTO (nadie lo sabe)."
hp-011,S22,pm-bote-arco1,maestria,5,6,"Suelta del crecimiento reprimido del Quirk (18 declinaciones + cumbre): la maestria llena el nuevo tope de potencial 6. OCULTO. La bengala es ahora enorme y nadie lo sabe."
# S22 CIERRE DE ARCO 1: SUELTA DEL BOTE (183 peso). Stats: TEC/ING/COO 4->5 (COO 3->5), PWR/VEL 4. Quirk: potencial 5->6, maestria 5->6. Todo el Quirk OCULTO. pm-107..pm-144 -> otorgadas (bote consumido). PWR/VEL = margen de crecimiento Arco 2.
hp-012,29,pm-189,PWR,4,5,6 peso PWR (Yunque vs Bakugo + revés real pm-168/169 + bloque de hierro pm-170 + techo 230 kg y auto-sparring pm-189); banda Arco 2; preferencia declarada
