id,rasgo_objetivo,tipo,descripcion,requisitos,coste_narrativo,activa
ruta-001,maestria_quirk (control del Eco),operativa,Entrenamiento con Aizawa. S4: sostiene los 'dos tiempos' limpio (M4 consolidado). Siguiente: dominar más tiempos / M5 (RALENTIZAR — Aizawa avisó del ritmo).,6:30 mañanas en Gamma.,"Miedo, scars, madrugones; y ahora el techo de la curva.",si
ruta-002,maestria_quirk / TEC_quirk (control de savia),segura,Entrenamiento con Ibara (escuchar la savia). Miér+vier.,Miér y vier tras clase; marco 'a la luz'.,Paciencia; gestionar la tracción.,si
ruta-003,COO / liderazgo,operativa,"Coordinación (Kendo) + liderazgo social (fundó la mesa de los guardianes, ganó a Iida, tejió comunidad). Marca fuerte acumulada.",Tiempo con la red; aplicar en equipo.,Exposición; gestión del harem.,si
ruta-004,ING / académico,segura,Recuperar el temario (2/3 comido). Mates dominado. Exámenes en ~2 semanas.,Estudio; apuntes de Momo/Kendo/Iida.,Tiempo.,si
ruta-005,recuperación en combate / drenaje AB (poquito de muchas),brutal,"Rellenar el pool en marcha (drenaje enemigo en pelea limpia / donación consentida / gestión propia). S5: ACTIVADA — Aizawa la avala con línea roja sellada ('recibir, no tomar'); Akari es AB (receptor universal), su sangre en otros crea vínculo simbiótico/curación, no sumisión. Empezar disciplinado. S8/D7: PRIMERAS INGESTAS REALES (Momo: traza + drenaje completo consentido, en amor) — regla de SINTONIZACIÓN adoptada (R10) y COMPLETA con Momo; el HAMBRE asomó y FRENÓ con límite externo (Blackroot); PROTOCOLO pactado (micro diaria + completa semanal + suscripción a la fuente + techo anti-bengala + jamás <20% pool). Experimento con Ibara: proponer con CONSENTIMIENTO INFORMADO COMPLETO (condición de Momo). S10/D11: MINA = 4ª donante (sintonización iniciada, tipo B +20; drenaje en clímax; regla ~31 may-1 jun pactada como fuente). HITO DEL ARCO DEL HAMBRE: primer drenaje SIN Blackroot + 6ª declinación (contención elegida — 'acta grande' de Momo). Doctrina de sangre libre estrenada (3 catas; con pool lleno = GULA: vigilar). Frase nueva de la voz verde: 'viviríamos también DENTRO de ella' (tras la propuesta del experimento de savia inyectada — anomalía archivada).",Línea roja anti-Drácula (sellada); consentimiento; leer el propio bidón (ya sabe).,Edge 18+; la savia 'quiere' beber; riesgo de que el hambre mande; efectos de su sangre en otros; que no le guste 'el sabor y no el motivo'.,si
ruta-006,capacidad de pool / acondicionamiento físico,operativa,"S5: ACTIVADA por Aizawa — agrandar el depósito de sangre real por acondicionamiento (volumen, riego, médula, hierro en dieta) + curación a terceros (M4 ya la permite: vines medicinales, coste 10/herida). Crece SIN subir maestría (no enciende la bengala). Ligada a PWR/stamina, madura por arco.","Series brutales 06:30; dieta rica en hierro; constancia diaria. S8/D7: BASE LIMPIA fijada (10k en 57:00 + 100/100/74). S10: REGLA DE BLOQUES adoptada (docs/progresion_narrativa.md) — cada bloque de ~1-2 semanas con progresión medible = marca peso 1 de PWR/VEL, concedible al completarse. BLOQUE 1 (D7-D12) COMPLETADO: 10k 57:00→54:10, dobles sesiones, ritmo de Mirio aguantado → pm-041. BLOQUE 2 en curso desde D12: objetivo sugerido sub-50' en 10k (= peso 2 por hito medible) + tabla a tope; sesiones fijas lun/mié 6:00 (Uraraka; horario ajustado S11), mié 5:30 (Kendo), Mirio libre al alba, Aizawa 6:30 diario. D18 (S17): 5k A TOPE medido — 23:58, negative splits, SIN savia (Erasure intermitente de Aizawa como garantía de dato limpio); primera marca con VEL 4; proyección 10k ~49-50' → objetivo sub-50' del bloque 2 EN TRAYECTORIA, pendiente de confirmar con 10k. Plan de vuelo de la tobera: lo redactará con Nejire (copiloto); la firma es de Aizawa.","Sudor; el techo es lento (semanas/arco), no un atajo.",si
ruta-007,vuelo propio (alas de savia),operativa,"S9/D10-11: ALAS DE SAVIA brotadas (aspecto Cuerpo, con ayuda de Ibara). Objetivo: vuelo sostenido propio por FRECUENCIA MODULADA (técnica de Nejire). Estado: medio segundo logrado. S10/D11 — PRIMERA PÁGINA TEÓRICA (cuadernos de Nejire, ondas estacionarias): el fallo diagnosticado — EMPUJA chorro continuo donde debe PULSAR a la frecuencia propia del ala ('todo lo que vuela sin motor, pulsa'; nodos/vientres/frecuencia propia; con-035). Camino: aplicar la pulsación + reparto de atención + eficiencia de batido. CONDICIÓN VIVA: el primer segundo entero se estrena ante Nejire. Crece SIN subir maestría. S11/D12: HITO 'primer segundo entero' CUMPLIDO — 2,1 s de vuelo verdadero (D12; testigo y acreedora: Nejire — condición de estreno pagada; pm-042). Siguiente peldaño: 150 km/h sostenidos (sesión 2 del club, miér 29 17:00, con telemetría de Hatsume). Ruta ACTIVA. | S16/D17 HITO 150 CUMPLIDO: 155 km/h sostenidos con capullo aerodinamico de sangre de Nejire (pm-098, canje instantaneo pactado). SIGUIENTE PELDANO: barrera del sonido - bebe 40-v2 supersonico (Mach 1.2; ~3 semanas, tunel de viento, sangre para la matriz) + modo tobera (restringido: plan de vuelo de Aizawa).",Entrenamiento con Aizawa (deberes de vuelo); física de Snipe; principio de Nejire.,Pool en el brote; ridículo si aletea sin despegar (Aizawa: no mostrar en público hasta que vuele bien).,si
# OFERTA S11 (nota, no ruta aún): estudio en dos tiempos real (cognición paralela del Avatar) = capacidad de M5-6+, candidata a ruta futura (rechazada la versión trampa nocturna en S11).
ruta-008,camuflaje/interpretacion (caracter-tecnica),operativa,"Aprender a MENTIR/ACTUAR para el senuelo anti-borrado (etiquetas, con-039): 'el que miente bien no miente, ACTUA; se cree el papel'. Percepcion + teatro. | S16/D17 v2 SUPERADA CON MATRICULA (con asterisco): bradicardia 33lpm descartada como tecnica ('cadaver=sirena') -> 'EMITIR OTRA EMISORA' adquirida (senales vivas clasificadas mal; 9:40 en vivo ante la mejor lectora de pieles del pais). Proxima fase: aplicar bajo presion real. || S20 REFUNDADA COMO 'DOCTRINA DEL TERREMOTO' (D26): esconderse A LA LUZ tras el deseo — ser tan amado que borrarlo cueste una guerra ('ejercitos de fans buscando la verdad un siglo'). MAESTRA TITULAR: Midnight ('funciona: llevan 20 anos sin poder domarme'). Letra pequena: el escudo cobra ('te desean tanto que dejan de verte; cuida el jardin que conoce al de debajo'). LECCION 1 (deberes, LUNES): 'elige QUE van a desear de ti — eso te lo comeran a diario para siempre'.","Tutorias con Midnight (percepcion/teatro, miercoles 15:30) para la ejecucion + Momo como intendente de mentiras para la teoria/diseno; sostener la escalera 1s->5s->Nezu mas tiempo.",Exposicion a Midnight (tabu profesora-alumno + deseo abierto; 'la mentira bien aprendida a veces se vuelve verdad'); tiempo/agenda.,si
ruta-009,aspecto-temporal (Ecos/memoria),narrativa,"Profundidad de MEMORIA en vez de 'más segundos de combate': descarga voluntaria de save points ajenos, Ecos como confidentes/testigos de sí mismo, y el 'estudio en dos tiempos' real (cognición paralela) de M5-6. El aspecto temporal crece por su naturaleza (memoria/identidad/inmortalidad), no por táctica.",Marcas narrativas de uso del aspecto temporal en arco (no combate); descongelar maestría hacia M5-6 para el estudio en dos tiempos; conexión con la intuición de inmortalidad (Nejire/2096/Nighteye),OPSEC extremo (aspecto tabú); coste fáustico del rewind (R15); disociación por memory scars; cada uso en social es bengala potencial,activa
ruta-010,PR/coraza de notoriedad (rebranding del Quirk),operativa,"S14/D15 ARRANCADA por el jugador: rebranding del Quirk 'arcángel industrial carmesí' — reescribir la sangre en el imaginario colectivo hacia lo pristino/sagrado/litúrgico (no vampiro/monstruo). Cartuchos de sangre modulares tipo Toga sin degradación (casi pleno por tipo). Estética 'Heavy Metal + arcángel inmaculado': rojo litúrgico, vitrales góticos, acabados nacarados sobre chasis técnico. IMPLEMENTACIÓN: el costume (Mei, mock-up hecho) + comportamiento público en prácticos/exámenes/MI-prensa. Crecimiento SIN subir maestría (de hecho refuerza el sandbagging: un Quirk estetizado 'de ángel' contradice el tabú de la bengala temporal). Hito natural al cierre de Arco 1: primera aparición pública con el costume arcángel en los exámenes 5 jun.",Cita con Nezu (Aizawa la sube mañana) para cerrar el aula repaso 15-16h y confirmar la doctrina de imagen pública (Nezu máximos + apoya); Mei termina el costume antes del exámenes; observadores de la Comisión en los prácticos 5 jun = primera lectura pública del rebranding.,Exposición pública del Quirk estetizado; riesgo de que la Comisión lea 'cuidado de imagen' como signo de consciencia estratégica (subiría clímax de vigilancia).,si
ruta-011,dominio de rango (TEC/ING - arsenal),operativa,"S16/D17 FUNDADA (punto debil declarado por el propio Akari: 'long range solo coordino'): (1) dardos de savia endurecida recuperables corto-medio; (2) AVE MARIA (mis-036, ballesta-coartada con Mei, specs Snipe latex+lignina+spin); (3) practica en la galeria de Snipe; (4) ataque ANTI-MATERIAL de pool concentrado SOLO con Aizawa a puerta cerrada (cuaderno); (5) hipotesis municion de sangre enemiga ('catar antes de cargar').",galeria de Snipe + prototipo de Mei + sesiones cerradas con Aizawa,mililitros propios por disparo real; riesgo de imagen si se ve mal usado,"si || S28/D36 FASE NUEVA (campo largo): el salto a los 1.320 m de eq-013 pasa por I+D de PROYECTIL, no por mas practica. Hito intermedio abierto: traer a Snipe la DERIVA CALCULADA el jueves, previa consulta con Mei. *** RESUELTA POR OTRA VIA D36 (ev-401): la diana de 1.320 m se perforo con BESTIA-PROYECTIL, sin ballesta ni virote ni dependencia de terceros. Linea de trabajo nueva: (a) subir el proyectil con una 2a bestia (el ascenso es el 66% del tiempo de vuelo), (b) observador en cota o percepcion desde dentro del proyectil para correccion entre disparos, (c) escalar masa a voluntad (el coste es la invocacion, no la masa). El I+D de virote con Mei sigue vivo pero YA NO ES EL CAMINO CRITICO. *** Ventaja OPSEC: trabajar los numeros es VERDE y no deja huella en informes — permite avanzar hacia un objetivo ambar en semana de auditoria."
ruta-012,aspecto temporal — metrica de scars (magisterio Nighteye),narrativa,S20/D28 FUNDADA: domar el coste del rewind con METODO — (1) linea base cognitiva + tests ciegos antes/despues; (2) registro contable de cada uso ('ni miedo ni gula: contabilidad'); (3) AUDITORIA DE DERIVA externa: lecturas periodicas del delta por Foresight buscando la 'version vaciada' (hoy NO identificada — primera de una serie); (4) cartografia de que puede cambiarse y a que precio. Meta: certificar que no hay precio fatal de identidad. De paso: corregir LA LAPIDA.,acceso a Sir (pasantia sin firmar — hablar con Aizawa); disciplina de registro; honestidad ('administrar el presente sin mentirle'),OPSEC extremo (rojo); el riesgo llamado 'esperanza',activa
ruta-013,aspecto-resonancia (Eco-onda / Arrebato),operativa,"S21/D29 FUNDADA (madrugada 12 jul): despertar el subsistema de RESONANCIA (R16 + docs/quirk_resonancia_arrebato.md) por la via de la banda/circulo intimo. Peldanos: (1) SOSTENER — Eco por vinculo de sangre + jacks de Jiro sostiene su voz [CONSOLIDADO S21]; (2) EMITIR/ANTENA — un aliado emisor (Jiro) emite la resonancia al aire -> alcance a NO-sintonizados [muro: feedback/Larsen]; (3) CORO — sintonizados armonizados a nivel de sangre, potencia que crece con cada integrante (curva a calibrar); (4) ARREBATO — mover a una sala/masa. Descubrimientos S21: transmitir/amplificar emocion, boost de Quirk aliado, implantar emocion (detectable). Aspecto benigno/PUBLICO (cerezos que cubren el alero); el rewind se queda ROJO fuera.",Sintonizados (sangre bebida) + aliado emisor para la antena (Jiro) + entrenar armonizacion; ensayos privados 'UA vacia'; descongelar hacia M5-6 para multitud/coro/anulacion,"Feedback que se desboca (Larsen en emocion; espiral interna sin techo en deseo -> tope consciente); uso publico = bengala controlada (la exhibicion ES la cortina de humo, pero anular Quirks enciende radar pro); Amber = Aizawa al cuaderno al emitir al aire",si
RC-PWR-SEG-01,"PWR (4->5, evidencia)",segura,"EL BLOQUE DE HIERRO: bloque(s) de acondicionamiento con foco FUERZA (tabla de Aizawa, cargas progresivas, dobles sesiones Gamma 6:30, 1-2 semanas documentadas y MEDIBLES) + dieta pro-pool formalizada con Lunch Rush ('el del bosque come hierro'). Peso 1 por bloque completado; peso 2 si cierra hito fisico medible mayor (tabla a tope / prueba vs especialista).",constancia documentada + progresion medible + coste real (madrugones); regla entrenamiento-fisico-rinde,tiempo (albas fuera de todas las camas); agujetas; friccion de agenda,si
RC-PWR-OPER-01,"PWR (4->5, evidencia + 2o contexto)",operativa,EL YUNQUE DE BAKUGO: serie de sparrings de madrugada SOLO CUERPO (sin arcangel/bestias) con meta medible de fuerza cruda (derribar a Bakugo 1 vez a empuje puro) + aplicacion bajo presion real en Fundamentos/rescate (sostener carga a musculo). Aporta el SEGUNDO CONTEXTO y probablemente el REVES que exige el salto 4->5. OJO counter: explosiones = FUEGO (savia a la mitad). Sin camara.,sparrings repactados con Bakugo + un ejercicio real de aplicacion; medicion declarada,lesiones nivel 1 recurrentes; quemaduras superficiales; riesgo OPSEC si hay testigos,si
RC-PWR-BRUTAL-01,"PWR (4->5, peso 3)",brutal,LEVANTAR LO IMPOSIBLE: evento real de vida o muerte donde la fuerza bruta sea LA variable sin trucos (estructura colapsando sostenida a musculo+Cuerpo; villano fisico que hay que PARAR). No se agenda: se reconoce cuando llega (relojes vivos: Oficina/Kuroda/'cosas viejas'). Peso 3 decisiva + probable reves y 2o contexto en el mismo evento.,que la campana lo sirva; decision activa de Akari de pagar el precio,herida persistente; desangramiento/reverie; counters plenos (fuego/sequia); exposicion ante la Comision (ambar),no
RC-TEC-OPER-02,TEC / dominio corporal,operativa,"AUTO-SPARRING CONTRA AVATARES CARMESI (metodo validado S26): combatir contra 2-6 copias de si mismo en sala cerrada. Cada version conoce sus fintas, su alcance y sus tells, y al reabsorber devuelve DOMINIO (no familiaridad). Coste: pool + mantenimiento, NO atencion. Uso: depurar tells motores antes de un sparring real.",sala sin camaras + pool alto; sesiones documentadas,exposicion OPSEC si hay testigos; desgaste de pool,si
