id,nombre,quirk,afiliacion,amenaza,ultimo_avistamiento,notas
villano-trigger-001,Villano del Trigger (sin identificar),Endurecimiento óseo,Callejero,baja (capturado),Naka-ku sur (S1/D1),Detenido por Akari+Kendo sin Quirk visible. Entregado a la policía.
avalista-001,Avalista sin nombre,Desconocido (pro-hero),Institucional / fría (¿Comisión?),media-ALTA / vigilancia + amenaza directa,—,"Pro-hero confidencial que metió a Akari en UA; informes trimestrales del Quirk. Institucional, no el coleccionista. S4/D4: Aizawa confirmó a Akari la AMENAZA DIRECTA — si Akari se estanca (débil/'maceta', inestable), es factible que el gobierno/la institución decida ELIMINARLO antes de arriesgarse a que su Quirk temporal caiga en manos del coleccionista. Blindaje: hacerse fuerte, valioso e imposible de eliminar sin coste (red social = testigos). Aizawa se posicionó entre Akari y ese cálculo. S11 (D12, Nezu): borrado LATENTE-PACIENTE ('latente no es dormido — es paciente'); escudo vigente = clasificación 'potencial medio, Quirk de bestias, alumno aplicado'."
coleccionista-sombras-001,Coleccionista de Quirks (las sombras),Roba/colecciona Quirks,Sombras,ALTA / futura,—,"Entidad que roba Quirks; opera en la oscuridad. NO es el avalista. Nezu advirtió que un Quirk temporal como el de Akari acabará en su radar ('la oscuridad no pide informes; viene a tomar'). Si robara el Eco (manipulación temporal) + su colección = catástrofe mundial. Por eso el Quirk de Akari no puede caer en malas manos. [GM: concepto AFO; identidad reservada.] S11 (D12, Nezu): expediente de beca consultado 2× desde fuera (ver funcionario-listas-001; conexión SIN CONFIRMAR); borrado LATENTE-PACIENTE; escudo vigente = clasificación 'potencial medio, Quirk de bestias, alumno aplicado'. | S16/D17: hipotesis REFORZADA por Nezu - el vigia del flanco este CATALOGA (tasador de adquisicion): 'los gobiernos eliminan lo que temen; los coleccionistas tasan lo que desean'. El interes excede la magnitud aparente de Akari (quemar una credencial de 3 anos). || S20/D28 (via Awata): Sir Nighteye alimenta EL SOLO una carpeta sin nombre etiquetada con UNA FIRMA DE TINTA TACHADA; pidio el forense del Nomu del USJ x3 (una copia SIN censurar, canal no-Comision). La savia de Akari se ERIZO al oirlo (instinto: le concierne — ¿lector o pagina?)."
funcionario-listas-001,Funcionario de las listas (sin nombre),Desconocido,Comisión (despacho intermedio),LATENTE / vigilada por Nezu,—,"S11 (D12): burócrata de despacho intermedio de la Comisión, sin nombre, que consultó el expediente de beca de Akari disfrazado de trámite administrativo — 'un funcionario que alimenta listas ajenas'. Amenaza LATENTE, bajo vigilancia de Nezu. Conexión posible con el coleccionista (SIN CONFIRMAR). | S16/D17 (Nezu): el 4o acceso al expediente uso credenciales de un funcionario del registro de listas MUERTO HACE 3 ANOS, mantenidas activas ('jardineria de fantasmas'). Hipotesis: faccion de la Comision fuera de acta O actor privado con penetracion estatal. Nezu identificara al dueno y Akari lo sabra ANTES que la Comision."
vigia-tasador-001,Vigia-tasador del flanco este,,,,,"S16/D17: PATRULLA CONFIRMADA por el sotobosque sensor (2 pasadas identicas 3:10 y 3:40, mismo peso/distancia). Profesional con optica larga que CATALOGA, no apunta. Probable agente del coleccionista (o de la faccion de la credencial muerta). Aviso de Nezu: NO CAMBIAR RUTINAS ('un tasador que nota que lo han notado adelanta la subasta'). Zoom de Mei ya gastado; solo red de sensores."
fantasma-expediente-001,Fantasma del expediente (tampering),desconocido,¿Comision?,alta,C1-T1-D25 madrugada (03:47),"S20: falsifico las notas de Akari en la regeneracion de las 03:47 (solo 2 terminales posibles). Quirurgico: solo las 2 casillas que lo harian visible. Lectura Aizawa/Momo: TOSCO A PROPOSITO = mensaje ('PODEMOS') = experimento estimulo-respuesta. Contramedidas: mis-043 (requisicion + trazadora de Midnight + no-reaccion). Tachibana ('A6') vigila el flujo del lunes: 'el lunes la nada se retrata'. ARRIBA alguien pidio 'auditoria preventiva de accesos a expedientes formativos' (membrete gris, fecha del viernes)."
kuroda-rei-001,Rei Kuroda (auditora del membrete gris),inspeccion/archivo (sin Quirk conocido),Comision — delegacion Osaka,ALTA / activa,—,"EDAD 38 (fijado S28): hace 12 anos tenia 26 = analista junior que SOSTENIA LA CARPETA mientras los adultos firmaban (estuvo en la sala; no ordeno, archivo). NO es la archivera Yaeko (74). Nunca vista en camara por Akari hasta S27. S25: NOMBRADA (via Nezu/Aizawa). Inspectora senior de archivo; targetea a Akari desde S24; su linea = Instituto Soma + hace 12 anos; mision confirmada: VERIFICAR EL ACTIVO ('aqui dentro alguien lo protege' -> confirmado; cierre interno: 'Paciencia. Todavia no'). Misma delegacion que firmo la recomendacion de Akari a UA. OJO homonimia: SIN relacion conocida con el Sabueso (Kuroda) de Naka-ku — apellido comun; vigilar."
archivera-001,La archivera (guantes blancos),reorganizacion de memoria (borrado con puerta; exige mantenimiento),Oficina de Gestion de Activos Especiales,ALTA / ACTIVA,—,"S25: autora del borrado de Akari (2 sesiones, 6 anos): 'pared lisa con una puerta que solo se abre si nadie la toca'. Receto el mantenimiento familiar (guion + frases-ancla + sonrisa). Sin nombre. UNICA IMAGEN CONOCIDA: al fondo de la foto de hospital de la caja de Osaka (en poder de Akari/Momo). La 2a sesion (semana 4) tapo lo que la 'falsa alarma' fue. || S28/D36 (POV): abre el despacho clausurado a las 07:00. LOS GUANTES = 51 anios sin tocar a nadie con la mano desnuda (su Quirk actua POR CONTACTO). *** LOS TRES NODOS ***: 'reconsolidacion incompleta en tres nodos' = tres grietas CONCRETAS y localizadas en la pared de Akari (0-8 anios); ELLA ES LA UNICA PERSONA VIVA QUE SABE CUALES. El sobre acolchado sigue sin remite; decide meter UNA hoja (la carpeta entera la mata y no le sirve a el) y EMPIEZA A COPIAR EL PRIMER NODO. Pasa de latente a ACTIVA: es la unica fuga que existe dentro de la Oficina."
oficina-activos-001,Oficina de Gestion de Activos Especiales,entidad institucional (membrete; serie S),aparato Comision/HPSC (encaje exacto desconocido),MUY ALTA / estructural,—,"S25 (la caja): firmante del acuerdo de hace 12 anos. Anotacion 'Consistente con S-3. Elevar.' -> gestiona una SERIE de ninos (S-1, S-2, Akari=S-3; teoria: ninos que vuelven de la muerte). Lenguaje contable ('activo','custodia','verificar'). Conexiones: la archivera (operativa), Tsubaki ('custodia'), Kuroda (verificacion), vigilancia HPSC de la casa de Osaka. mis-046. VENTAJA FRAGIL: no sabe (que sepamos) que Akari tiene la caja y el membrete."
stain-001,"Stain / Chizome Akaguro (el Hero Killer, ""el editor"")",Bloodcurdle (paralisis por ingestion de sangre; duracion segun tipo sanguineo),independiente (ideologico; la Liga lo corteja sin tenerlo),MUY ALTA / activa,"Hosu, Eko District (S28/D36, en su bloque)","Editor del canon heroico: 4 pro-heroes muertos, +20 mutilados; elige por MERITO PERCIBIDO; credo en video; respeta solo a All Might. Quirk BLOODCURDLE (paraliza INGIRIENDO sangre; duracion segun tipo sanguineo) -> RESONANCIA con Akari (con-033). S26: opera y probablemente RESIDE en Eko District (Hosu). Cazadero real = callejon sin cinta 2 manzanas al sur de la escena oficial (4 capas de sangre vieja = 4+ sangrados no reportados); 3 rutas de tejado convergen en bloque bajo habitado; azotea = su puesto de observacion. || S28/D36 (POV): ve a la policia EN SU CALLEJON (6 uniformes, 2 de fuera, llegados 05:30) y deduce que ALGUIEN SE LO HA DADO ('eso no lo encuentra la policia'). *** CLAVE: la azotea sigue intacta -> concluye que QUIEN INFORMO NO LO ENTREGO TODO *** (fue Nezu quien la retuvo). Descarta heroe: 'un heroe habria venido'; alguien que sabia, podia cobrarlo y NO LO COBRO. 'Ensename la cara. Sea lo que seas.' DECISION: esta noche sube a la azotea NO para bajar, sino PARA VER QUIEN MIRA. NIEBLA: nunca vio a Argus (cota alta, sin descender); es deduccion pura, NO deteccion. mis-047."
