id,evento,medio,tono,impacto_pc,impacto_agencia,notas
rep-001,Llegada y evaluación de aptitud,interno (1-A/1-B),positivo-curioso,bajo,—,"El nuevo del que se habla (balón 412m, administración del Quirk)."
rep-002,Rescate de Naka-ku sur (sin licencia),foto interna + cámaras,neutro-positivo,bajo,—,Foto circulando (su versión humilde). Sin prensa pública.
rep-003,Consolidación social e integración,interno (1-A),positivo,bajo,—,"S2-S3: íntegro, culto, de fiar. Aptitud matemática brillante."
rep-004,'El que ablandó a Todoroki' + mesa de los guardianes,interno (1-A),muy positivo,bajo,—,S4/D4: Akari logró que Todoroki —inaccesible— le diera la mano y hablara de amistad DELANTE de la clase (bombazo social). Fundó la mesa de los guardianes (comunidad para los del margen). Ganó a Iida. Reputación de 'el que conecta con quien nadie conecta'. Midoriya lo 'investiga'. Bakugo lo fichó como amenaza que sube. NADIE sabe de su relación con Momo (secreta).
rep-005,'El nuevo sella cortes' (saliva-savia coagulante en público),interno (1-A),positivo,bajo,—,S10/D11: selló los cortes de Ojiro y Kirishima a la vista de todos → rumor bueno de clase con sabor a héroe de rescate. Ruido-camuflaje (como el cuervo): tapa la cara vampírica del Quirk con una cara samaritana.
rep-006,Single 'Ley Heroica v1' — proyecto de canciones-lección,interno (1-A + 1-B),muy positivo,medio,—,"S10/D11 noche: circulado a 1-A (20/20 descargas) y ENTREGADO A KENDO para 1-B (jurado: 'mañana lo tiene toda 1-B' — al cierre S10, viernes 6:26, la difusión en 1-B está en curso, CONSUMADA en S11/D12: Vlad King confiscó, escuchó y midió — media de 1-B +1,8, exige 2 enteros; contramedida de Monoma: 'nos la aprenderemos mejor que ellos'; la voz sonando en 3 móviles a la vez en los pasillos). Firmado como 'proyecto de Hayami' (Jirō = productora en semianonimato; su voz es reconocible). Prestigio de 'el que ayuda a todos a aprobar' antes de los exámenes. Monoma cree que es una operación de espionaje (gag vivo). Uraraka y media clase saben/intuyen quién canta — nadie lo dice."
rep-007,Yogmungard revelada en Fundamentos ante 1-A + All Might (escolta a ciegas de cámara),interno (1-A + All Might),positivo-espectacular,bajo,—,"S11/D12: primera revelación pública de Yogmungard (antes solo Aizawa la conocía). Lectura pública: 'Quirk de bestias, qué muchacho tan vistoso' = castaño clasificable → CAMUFLAJE REFORZADO (sacia la curiosidad en vez de despertarla; doctrina Nezu). Rumores previos intactos. Sin cobertura mediática externa."
rep-008,Aula de repaso inter-clase 15-16h + rebranding del Quirk (arcángel industrial),interno (claustro UA + 1-A/1-B vision),positivo-estrategico,medio-alto,—,"S14/D15: iniciativa de Akari, aprobada por Aizawa con condiciones (aula física no-lectiva, voluntaria, 1-A+1-B). 'Seis horas, hasta para ti' — el alumno nuevo que HACE MEJOR a los demás; perfil que vale más que un primer puesto en un expediente. Rebranding 'arcángel industrial carmesí' articulado con Mei: sangre -> pristino/litúrgico/vitral gótico. Salida pública prevista = exámenes 5 jun (con costume + observadores de la Comisión). Sin prensa externa todavía."
rep-009,"Avatar Carmesi estrenado en combate de evaluacion (vs Ojiro) + 'la savia habla' en Fundamentos (9,6 con All Might)",interno (1-A + Aizawa/Snipe + camara docente de All Might),positivo-tactico,medio,—,S17/D18-D19: dos tells PUBLICOS deliberados pre-observadores (castanos elegidos): el senuelo que la clase ya ha visto es un senuelo que nadie investiga; la savia-altavoz leida como utilidad benigna de rescate. Midoriya tomo notas a velocidad de telegrafo. La Comision esperara ver EXACTAMENTE esto el dia 5 — que lean la lluvia.
rep-010,Vispera de examenes: fiesta Blur en 1-A + aula de repaso maraton inter-clases + matricula de LIDERAZGO en Fundamentos,interno (1-A + 1-B + claustro; camara docente de All Might),positivo-estrategico,medio,—,"S18/D23: perfil de LIDER/summa reforzado sin gastar secretos. All Might firma ""liderazgo"" (simulacro; Akari salva a Bakugo sin humillarlo). Monoma ""diabolico"" = camuflaje gratis. La fiesta Blur (Jiro amplificando) unio a la clase; el aula de repaso maraton unio 1-A y 1-B. Iida lo ficha como aliado. Sin cobertura mediatica externa; Kioto en anonimato total."
rep-011,Examen practico de rescate 6/6 (con observadores de la Comision),interno (1-A/1-B) + evaluadores Comision,muy positivo,medio,—,"S19/D24: rescate limpio de matricula (6/6 civiles, barrio intacto, protocolo de operacion completo) con Ibara de pareja; la clase lo lee como heroe de rescate metodico. Bakugo (que vio los '10 segundos' de contencion) sabe que esconde poder Y mando, mas obsesionado. La Comision anota versatilidad visible (Tachibana, 'A6') pero nada del secreto real (verde, no ambar). Camuflaje: 'cede el protagonismo a su companera de 1-B'."
rep-012,Leyendas internas de la semana: victoria sobre Bakugo 'con macetas' + apreton de manos publico + mencion de honor del concurso de habitaciones ('el del bosque'),interno (1-A/1-B),positivo,medio,—,"S20/D25-D27: la clase lo lee como el tactico que gana sin humillar y el vecino con el mejor cuarto del edificio; Mineta disuadido pasivamente por un zorro de nueve colas. El tablon oficial, en cambio, lo pinta 'correcto y olvidable' (FALSIFICADO — ver mis-043)."
